tablet_name,bbox_glyph,mzl_label
P334894_o,"[165, 60, 231, 136]",839
P334894_o,"[220, 69, 341, 130]",110
P334894_o,"[171, 137, 308, 214]",18
P334894_o,"[287, 140, 406, 212]",24
P334894_o,"[164, 217, 268, 301]",812
P334894_o,"[238, 228, 284, 281]",661
P334894_o,"[277, 210, 407, 287]",736
P334894_o,"[256, 296, 407, 384]",266
P334894_o,"[162, 383, 238, 460]",839
P334894_o,"[211, 387, 322, 463]",248
P334894_o,"[313, 383, 385, 461]",839
P334894_o,"[388, 378, 493, 464]",753
P334894_o,"[488, 403, 589, 456]",252
P334894_o,"[163, 295, 278, 379]",566
P334894_o,"[364, 463, 455, 552]",110
P334894_o,"[459, 476, 509, 541]",839
P334894_o,"[511, 476, 566, 544]",839
P334894_o,"[309, 456, 372, 531]",708
P334894_o,"[254, 454, 316, 545]",578
P334894_o,"[159, 451, 271, 544]",566
P334894_o,"[162, 559, 233, 615]",1
P334894_o,"[235, 551, 350, 622]",248
P334894_o,"[336, 554, 430, 622]",132
P334894_o,"[423, 543, 510, 614]",753
P334894_o,"[509, 559, 612, 625]",252
P334894_o,"[395, 625, 522, 704]",754
P334894_o,"[521, 634, 598, 702]",869
P334894_o,"[150, 623, 263, 717]",812
P334894_o,"[237, 626, 403, 711]",696
P334894_o,"[158, 727, 271, 787]",252
P334894_o,"[265, 713, 414, 784]",16
P334894_o,"[394, 718, 490, 790]",132
P334894_o,"[152, 813, 226, 855]",1
P334894_o,"[222, 779, 394, 879]",663
P334894_o,"[361, 782, 433, 873]",631
P334894_o,"[422, 796, 482, 864]",869
P334894_o,"[477, 803, 521, 858]",839
P334894_o,"[529, 789, 623, 865]",110
P334894_o,"[143, 869, 257, 964]",514
P334894_o,"[238, 887, 282, 963]",839
P334894_o,"[285, 885, 342, 957]",753
P334894_o,"[340, 880, 462, 953]",142
P334894_o,"[457, 875, 551, 955]",754
P334894_o,"[154, 967, 279, 1042]",248
P334894_o,"[273, 972, 386, 1044]",71
P334894_o,"[366, 955, 464, 1042]",120
P334894_o,"[149, 1044, 279, 1128]",736
P334894_o,"[268, 1045, 361, 1128]",98
P334865_r,"[50, 83, 102, 128]",514
P334865_r,"[101, 71, 151, 115]",553
P334865_r,"[148, 68, 198, 113]",754
P334865_r,"[196, 72, 226, 105]",1
P334865_r,"[226, 62, 269, 107]",464
P334865_r,"[45, 133, 88, 181]",252
P334865_r,"[88, 124, 143, 169]",561
P334865_r,"[141, 113, 232, 161]",682
P334865_r,"[234, 114, 257, 144]",1
P334865_r,"[251, 104, 297, 149]",20
P334865_r,"[39, 178, 106, 225]",266
P334865_r,"[98, 165, 139, 212]",113
P334865_r,"[134, 163, 197, 206]",380
P334865_r,"[193, 164, 232, 196]",1
P334865_r,"[227, 154, 283, 197]",464
P334865_r,"[281, 152, 333, 193]",380
P334865_r,"[34, 228, 80, 275]",672
P334865_r,"[212, 198, 276, 244]",812
P334865_r,"[272, 203, 306, 243]",839
P334865_r,"[297, 204, 345, 242]",110
P334865_r,"[32, 279, 76, 325]",812
P334865_r,"[72, 269, 98, 312]",661
P334865_r,"[186, 250, 235, 298]",724
P334865_r,"[92, 264, 140, 310]",566
P334865_r,"[233, 249, 290, 293]",736
P334865_r,"[288, 250, 343, 288]",89
P334865_r,"[69, 326, 102, 372]",552
P334865_r,"[34, 326, 73, 380]",292
P334865_r,"[95, 316, 159, 368]",266
P334865_r,"[158, 310, 204, 352]",113
P334865_r,"[198, 303, 252, 352]",380
P334865_r,"[249, 300, 300, 344]",252
P334865_r,"[299, 304, 350, 341]",298
P334865_r,"[33, 382, 73, 433]",552
P334865_r,"[69, 373, 103, 428]",839
P334865_r,"[192, 353, 271, 398]",85
P334865_r,"[264, 342, 334, 396]",808
P334865_r,"[106, 363, 188, 418]",544
